id;pcode;space;start;end;activity
61;1,01E+13;*;1050;1100;131
61;1,01E+13;100902;1100;1120;32
61;1,01E+13;*;1120;1130;100
61;1,01E+13;100300;1130;1740;1
62;1,01E+13;100400;240;600;1
62;1,01E+13;*;600;615;121
62;1,01E+13;50700;615;780;54
62;1,01E+13;*;780;795;121
62;1,01E+13;100400;795;1740;1
63;1,01E+13;100400;240;480;1
63;1,01E+13;*;480;485;131
63;1,01E+13;100107;485;720;24
63;1,01E+13;*;720;735;100
63;1,01E+13;100400;735;1740;1
64;1,01E+13;100400;240;480;1
64;1,01E+13;*;480;485;100
64;1,01E+13;100401;485;1020;23
64;1,01E+13;*;1020;1025;100
64;1,01E+13;100400;1025;1740;1
65;1,01E+13;100400;240;510;1
65;1,01E+13;*;510;515;100
65;1,01E+13;100404;515;975;22
65;1,01E+13;*;975;980;100
65;1,01E+13;100400;980;1740;1
66;1,01E+13;100400;240;780;1
66;1,01E+13;*;780;810;100
66;1,01E+13;100300;810;840;42
66;1,01E+13;*;840;870;100
66;1,01E+13;100400;870;1740;1
67;1,01E+13;100400;240;510;1
67;1,01E+13;*;510;520;100
67;1,01E+13;100403;520;980;22
67;1,01E+13;*;980;990;100
67;1,01E+13;100400;990;1740;1
68;1,01E+13;100400;240;1020;1
68;1,01E+13;*;1020;1080;131
68;1,01E+13;20500;1080;1100;42
68;1,01E+13;*;1100;1120;133
68;1,01E+13;100400;1120;1290;1
68;1,01E+13;*;1290;1305;121
68;1,01E+13;300200;1305;1740;11
69;1,01E+13;100400;240;510;1
69;1,01E+13;*;510;520;131
69;1,01E+13;100201;520;530;61
69;1,01E+13;*;530;550;100
69;1,01E+13;100400;550;675;1
69;1,01E+13;*;675;695;100
69;1,01E+13;100201;695;710;64
69;1,01E+13;*;710;720;131
69;1,01E+13;100400;720;810;1
69;1,01E+13;*;810;820;131
69;1,01E+13;100201;820;840;61
69;1,01E+13;*;840;850;131
69;1,01E+13;100400;850;955;1
69;1,01E+13;*;955;975;100
69;1,01E+13;100201;975;980;64
69;1,01E+13;*;980;990;131
69;1,01E+13;100400;990;1740;1
70;1,01E+13;100400;240;510;1
70;1,01E+13;*;510;520;131
70;1,01E+13;100201;520;710;22
70;1,01E+13;*;710;720;131
70;1,01E+13;100400;720;810;1
70;1,01E+13;*;810;820;131
70;1,01E+13;100201;820;980;22
70;1,01E+13;*;980;990;131
70;1,01E+13;100400;990;1740;1
71;1,01E+13;100400;240;480;1
71;1,01E+13;*;480;495;131
71;1,01E+13;20700;495;1050;11
71;1,01E+13;*;1050;1065;131
71;1,01E+13;100400;1065;1740;1
72;1,01E+13;100400;240;420;1
72;1,01E+13;*;420;450;131
72;1,01E+13;10305;450;1080;24
72;1,01E+13;*;1080;1110;131
72;1,01E+13;100400;1110;1740;1
73;1,01E+13;100400;240;540;1
73;1,01E+13;*;540;600;100
73;1,01E+13;100600;600;600;52
73;1,01E+13;*;600;660;100
73;1,01E+13;100400;660;1740;1
74;1,01E+13;100400;240;480;1
74;1,01E+13;*;480;495;100
74;1,01E+13;100900;495;965;11
74;1,01E+13;*;965;980;100
74;1,01E+13;100400;980;1740;1
75;1,01E+13;100400;240;450;1
75;1,01E+13;*;450;510;131
75;1,01E+13;250102;510;1030;25
75;1,01E+13;*;1030;1080;131
75;1,01E+13;100400;1080;1740;1
76;1,01E+13;100400;240;545;1
76;1,01E+13;*;545;570;133
76;1,01E+13;120403;570;1015;24
76;1,01E+13;*;1015;1050;133
76;1,01E+13;20104;1050;1080;32
76;1,01E+13;*;1080;1115;133
76;1,01E+13;100400;1115;1740;1
77;1,01E+13;100400;240;480;1
77;1,01E+13;*;480;500;131
77;1,01E+13;90503;500;1050;23
77;1,01E+13;*;1050;1070;131
77;1,01E+13;100400;1070;1740;1
78;1,01E+13;100400;240;515;1
78;1,01E+13;*;515;520;100
78;1,01E+13;100403;520;975;22
78;1,01E+13;*;975;980;100
78;1,01E+13;100400;980;1740;1
79;1,01E+13;100400;240;510;1
79;1,01E+13;*;510;515;100
79;1,01E+13;100101;515;515;33
79;1,01E+13;*;515;550;100
79;1,01E+13;20500;550;560;42
79;1,01E+13;*;560;565;100
79;1,01E+13;20700;565;575;33
79;1,01E+13;*;575;615;100
79;1,01E+13;100400;615;885;1
79;1,01E+13;*;885;930;100
79;1,01E+13;20700;930;945;30
79;1,01E+13;*;945;955;100
79;1,01E+13;20300;955;970;30
79;1,01E+13;*;970;980;100
79;1,01E+13;20400;980;985;30
79;1,01E+13;*;985;990;100
79;1,01E+13;20500;990;1110;51
79;1,01E+13;*;1110;1145;100
79;1,01E+13;100400;1145;1740;1
80;1,01E+13;100400;240;480;1
80;1,01E+13;*;480;510;121
80;1,01E+13;60200;510;720;11
80;1,01E+13;*;720;730;121
80;1,01E+13;210202;730;735;32
80;1,01E+13;*;735;740;121
80;1,01E+13;60200;740;1080;11
80;1,01E+13;*;1080;1110;121
80;1,01E+13;30500;1110;1470;54
80;1,01E+13;*;1470;1485;121
80;1,01E+13;100400;1485;1740;1
81;1,01E+13;100400;240;600;1
81;1,01E+13;*;600;620;121
81;1,01E+13;10306;620;1020;11
81;1,01E+13;*;1020;1035;121
81;1,01E+13;100500;1035;1035;61
81;1,01E+13;*;1035;1040;121
81;1,01E+13;100400;1040;1740;1
82;1,01E+13;100400;240;540;1
82;1,01E+13;*;540;540;100
82;1,01E+13;100400;540;545;32
82;1,01E+13;*;545;545;100
82;1,01E+13;100400;545;570;1
82;1,01E+13;*;570;575;100
82;1,01E+13;100400;575;575;91
82;1,01E+13;*;575;575;100
82;1,01E+13;100400;575;630;1
82;1,01E+13;*;630;675;100
82;1,01E+13;100200;675;675;52
82;1,01E+13;*;675;720;100
